Participant,Run,TaskOrder1,TaskOrder2,W - Text,STD - Clicks,STD - Detections,GD - TotalAnswers,GD - CorrectAnswers
18,1,Familiarization-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask,,"It was in the year 1895 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of our great University towns, and it was during this time that the small but instructive adventure which I am about to relate befell us. It will be obvious that any details which would help the reader to exactly identify the college or the criminal would be injudicious and offensive. So painful a scandal may well be allowed to die out. With due discretion, the incident itself may, however, be described, since it serves to illustrate some of those qualities for which my friend was remarkable. I will endeveaur in my statement to avoid such terms as would serve to limit the events to any particular place, or give a clue as to the people concerned. We were residing at the time in furnished lodgings close to a library where Sherlock Holmes was pursuing some laborious researches in early English charters, researchers which led to results to striking that they may be the subciect of one of my future narratives. Here it was that one evening we received a visit from an acquaintance, Mr. Hi",10,9,100,91
18,2,Familiarization-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask,Familiarization-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask,"It was in the year 1895 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to soend some weeks in one of our great University towns, and it was during this time that the small bit instructive adventrue which I am about to relate befell us. It will be obvious that any details which would help the reader to exactly identify the college or the criminal would be injudicious and offensive. So painful a scandal may well be allowed to die out. With due discretion the incident itself may, however, be described, since it serves to illustrate some of those qualities for which my friend was remarkable.I will endeavor in my statement to avoid such terms as would serve to limit the events to any particular place, or give a clue as to the people concerned. We were residing at the time in furnished lodgings close to a library where Sherlock Holmes was pursuing some laborious researches in early English charters, researches which led to results so striking that they may be the subject of one of my future narratives. Here it was that one evening ",17,14,136,123
