Participant,Run,TaskOrder1,TaskOrder2,W - Text,STD - Clicks,STD - Detections,GD - TotalAnswers,GD - CorrectAnswers
7,1,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask,,"It was in the year 1895 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of our great University towns, and it was during this time that the small but instructive adventure which I am about to relate befell us. It will be obious that any details which would help the reader to exactly identify the college or the criminal would be injudicious and offensive. So painful a scandal may well be allowed to die out. With due discretion the incident itself may, however, be described, since it serves to illustrate some of those qualities for which y friend was remarkable.I will endeavour in my statement to avoid such terms as would serve to limit the events to any particular place, or give a clue as to the people concerned. We were residing at the time in furnished lodgongs close to a library where Sherlock Holmes was pursuing some laborious re",13,9,150,140
7,2,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask,"It was in the year 1895 tha a combiantion of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of our great University towns, and it was during this time that the smlal but instructive adventure which I am about to relate befell us. It wll be obvious tha any details whcih which would help the reader to excatly identify the college or the criminal would be injudicious and offensive. So painful a scandla may well be allowed to die out. With due discretion the incidentitself may, howevery be described, since it serves to illustrate some of those quualities for which my friend was remarkable. I will endeavour in my statement to avoid such terms as would serve to limit the events to any particular place, or give a clue as to the people concerned. We were residing at the time in furnished lodgings close to a library where Sherlock Holmes was pursuing some laborious researches in eraly English chartes, researchers which led to results so str",6,6,165,152
