Participant,Run,TaskOrder1,TaskOrder2,W - Text,STD - Clicks,STD - Detections,GD - TotalAnswers,GD - CorrectAnswers
5,1,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask,,"It was in the year 1895 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in our of our great University towns, and it was during this time that the small but instructive adventure which I am about to relate befell us. It will be obvious that any details which would help the reader to exactly identify thee college or the criminal would be injudicious and offensive. So painful a scandal may well be allowed to die out. With due discretion the incident itself may, however, be described, since it serves to illustrate some of those qualities for which my friends was remarkable.I will endeavour in my statement to avoid such terms as would serve to limit the events to any particular place, or give a clue as to the people concerned. We were residing at the time in furnished lodgings close to a bibra",9,8,150,138
5,2,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask,"It was in the year 1895 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of our great University towns, and it was during this time that the small but instructive adventure which I am about to relate befell us. It will be obvious that any details which would help the reader to exactly indentify the college or the criminal would be injudicious and offensive. So painful a scandal may be allowed to die out. With due discretion the incident itself may, however, be described, since it serves to illustrate some of those qualities for which my friend was remarkable.I will endeavour in my statement to avoid such terms as would serve to limit the events to any particular place, or give a clue as to the people concerned. We were residing at the time in furnished lodging close to a library where Sherlock Holmes was pursuing some laborious researches in early English charters, resear",8,8,149,137
