Participant,Run,TaskOrder1,TaskOrder2,W - Text,STD - Clicks,STD - Detections,GD - TotalAnswers,GD - CorrectAnswers
19,1,Familiarization-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask,,"It was in the year 1895 that a combination of events, into which I need tot enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of our great University towns, and it was during this time that the small but instructive adventure which I am about to relate befell us. It will be obvious that any details which would help the reader to exactly identify the college or the criminal would be injudicious and offensive. So painful a scandal may well be allowed to die out. With due discretion the incident itself may, however, be described, since it serves to illustrate some of those qualities for which my friend was remarkable.I will endevaour in my statement to avoid such terms as would serve to limit the events to any particular place, or give a clue as to the people concerned. We were residing at the time in furnieshed lodgings close to a library where Sherlock Holmes was pursuing some laborious researches in early English charters, researches which led to results so striking that they may be the subject of one of my future narratives. Here it was that one evening we received a visit from an acquaintance, Mr. Hi",11,5,86,82
19,2,Familiarization-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask,Familiarization-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask,"It was in the year 1895 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of our great University towms, and it was during this time that the small but instructive adventure which I am about to relate befell us. It will be obvious that any details which would help the reader to exactly identify the college or the criminal would be injudicious and offensive. So painful a scandal may well be allowed to die out. With due discretion the incident itself may, however, be described, since it serves to illustrate some of those qualities for which my friend was remarkable.I will endeavour in my statement to avoid such terms as would serve to limit the evets to any particualr place, or give a clue as to the people comcerned. We were residing at the time in furnished lodgings close to a library where Sherlock Holmes was pursuing some labarious researches in early English charters, researchers which led to results so striking that they may be the subject of one of my future narratives. Here it was that one evening we received a visit from an acquaintance, Mr.",7,6,106,98
