Participant,Run,TaskOrder1,TaskOrder2,W - Text,STD - Clicks,STD - Detections,GD - TotalAnswers,GD - CorrectAnswers
12,1,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask,,"It was the year 1895 that a combination of events, into which I need not enter, caused Mr. Sherlock Holmes and myself to spend some weeks in one of  our great University towns, and it was during this time that the small but instructuve adventure which I am about to relate befell us. It will be obvious that any details which would help the reader to exactly identify the college or the criminal would be injudicious and offensive. So painful a scandal may be allowed to die out. With due discretion the incident itself may, however, be described, since it serves to illustrate some of those qualities for which my friend was re ",13,4,78,54
12,2,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask,Familiarization-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask-SmokeTaskA-MainTask-SmokeTaskB-MainTask-SmokeTaskB-MainTask-SmokeTaskA-MainTask,"It was in the year 1895 that a combination of events, into which I need not enter, caused Mr Sherlock Holmes and myself to spend some weeks in one of the our great University towns, and it was during this time that the small but instructive adventure which I an about to relate befell us. It was obvious that any details which would help the rader to exactly I dentify the college or the criminal would be injudicious and offensive. So painful a scandal may well be allowed to die out. With due discretion the incident itself may, however , be described, since it serves to illustrate some of those qualities for which my friend was remarkable.I will endavour in my statement to avoid such terms as would serve to limit the evnets to any particular place, or give a clue as to the people concerned. We were residinf",4,2,127,106
